	language_label	profession	wikipedia_link	image_link
587	sr	Philosoph	http://sr.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%BE%D0%B7%D0%BE%D1%84	http://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg
588	stq	Philosoph	http://stq.wikipedia.org/wiki/Philosoph	-
589	sv	Philosoph	http://sv.wikipedia.org/wiki/Filosof	http://upload.wikimedia.org/wikipedia/commons/3/3a/Russell1907-2.jpg
590	sw	Philosoph	http://sw.wikipedia.org/wiki/Mwanafalsafa	http://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg
591	sw	Philosoph	http://sw.wikipedia.org/wiki/Mwanafalsafa	http://upload.wikimedia.org/wikipedia/commons/8/88/Plato_Silanion_Musei_Capitolini_MC1377.jpg
592	th	Philosoph	http://th.wikipedia.org/wiki/%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%9B%E0%B8%A3%E0%B8%B1%E0%B8%8A%E0%B8%8D%E0%B8%B2	-
593	tt	Philosoph	http://tt.wikipedia.org/wiki/%D0%A4%D3%99%D0%BB%D1%81%D3%99%D1%84%D3%99%D1%87%D0%B5	http://upload.wikimedia.org/wikipedia/commons/8/80/Wikipedia-logo-v2.svg
594	uk	Philosoph	http://uk.wikipedia.org/wiki/%D0%A4%D1%96%D0%BB%D0%BE%D1%81%D0%BE%D1%84	http://upload.wikimedia.org/wikipedia/commons/7/74/Discourse-into-the-night.jpg
595	vi	Philosoph	http://vi.wikipedia.org/wiki/Tri%E1%BA%BFt_gia	http://upload.wikimedia.org/wikipedia/commons/8/8c/David_-_The_Death_of_Socrates.jpg
596	vi	Philosoph	http://vi.wikipedia.org/wiki/Tri%E1%BA%BFt_gia	http://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg
597	vi	Philosoph	http://vi.wikipedia.org/wiki/Tri%E1%BA%BFt_gia	http://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg
