,all_men,men_-17th,men_17-18th,men_18-19th,men_1900_1940,men_1940,men_1960,all_women,women_-17th,women_17-18th,women_18-19th,women_1900_1940,women_1940,women_1960,m_ratio,m_ratio_1960,m_ratio_1940,m_ratio_1900_1940,m_ratio_18-19th,m_ratio_17-18th,m_ratio_-17th,m_ratio_before1960
Modist,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,3.0,1.0,1.0,0.0,0.0,0.166666666667,1.0,1.0,0.0,0.0,0.0,,0.0
Mönchtum,21.0,18.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
Mühlenbauer,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,1.0,1.0,1.0
Müller,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,,,,1.0,1.0
Nonne,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,1.0,,,1.0
Notar,7.0,2.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.875,0.8,0.833333333333,,,,1.0,1.0
Offizier,5.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,,1.0,,1.0
Online-Redakteur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,,,0.0
Orgelbauer,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,1.0,,1.0
Orientalist,98.0,6.0,14.0,55.0,16.0,7.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.98,,1.0,0.888888888889,1.0,1.0,1.0,0.98
Orthoptist,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,,,,,1.0
Pantomime,49.0,3.0,9.0,8.0,17.0,12.0,3.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.942307692308,1.0,0.923076923077,1.0,1.0,0.818181818182,1.0,0.938775510204
Pastoralreferent,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,,,1.0
Patentanwalt (Deutschland),1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,,,1.0,0.0,,,0.5
Pfarrer,15.0,1.0,4.0,4.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9375,1.0,0.857142857143,,1.0,1.0,1.0,0.933333333333
Philosoph,20.0,3.0,3.0,4.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.952380952381,1.0,1.0,0.833333333333,1.0,1.0,1.0,0.95
Physiker,6.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,1.0,,1.0,1.0
Politesse,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,,,1.0
Polizeivollzugsbeamter,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,,,1.0
Portier,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,1.0,,1.0
Porzellanmaler,19.0,1.0,8.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.95,,0.0,1.0,1.0,1.0,1.0,0.95
Postjungbote,6.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,1.0,1.0,,,1.0
Pressefotograf,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,,,,,1.0
Prior,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.333333333333,0.0,0.5,0.0,,,,0.5
Privatdozent,6.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,,1.0
Produktionstechnologe,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,
Professor,36.0,0.0,0.0,10.0,14.0,12.0,1.0,31.0,1.0,5.0,14.0,3.0,8.0,0.0,0.537313432836,1.0,0.6,0.823529411765,0.416666666667,0.0,0.0,0.530303030303
Psychoanalytiker,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,,,,1.0
Psychologe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,,,0.0
Pyrotechniker,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,1.0,1.0
